score,review,Name,y
1,진짜..확장 이전하기 전에 맛있어서 자주갔었는데 오랜만에 갔더니 예전 그맛이 아니네요 싱싱하지도 않고..체인점 늘리는거보다 퀄리티 신경써주셨으면 좋겠어요,오늘의초밥,0
5,너무나도 존맛탱 수쉐프님 손맛이 장난아니에요,오늘의초밥,1
5,직원분들 다 굉장히 친절합니다. 연어덮밥 양도 많고 맛있음. 서비스로 주신 것도 정말 맛있었어요. ,오늘의초밥,1
5,素晴らしい店です。 何時も持ち帰りで頼んで家で食べてますが値段を考えたらずいぶん良い店だと思います。  皆さん、 頑張ってください!!!  ,오늘의초밥,1
1,진짜 불친절....,하얀풍차제과 망포역점,0
3,,하얀풍차제과 망포역점,0
2,,하얀풍차제과 망포역점,0
1,"여기 경기지역화폐 가맹점 아닙니다. 수원지역화폐, 수원페이, 코나카드 결제 불가 입니다.",하얀풍차제과 망포역점,0
1,가격 대비 빵의 맛이 soso 하네요. 대부분 너무너무 달아요.,하얀풍차제과 망포역점,0
4,다 좋았어요,책발전소 광교점,1
5,쿠키 캐맛있어요,책발전소 광교점,1
5,분위기 좋아요,책발전소 광교점,1
5,"책 진열도, 구성도 깔끔하고 세련됐어요:) 밀크티도 맛있었습니다~",책발전소 광교점,1
5,책 고르기 쉽게 사장님 남편분께서 세심하게 적어놓은 글귀가 참 좋네요. 근데 시간 떼우려 추위 피하려 들어와 음료 하나 안시키고 자리에 앉아 핸드폰만 하시다가 가는 분들은 뭔지..,책발전소 광교점,1
1,"고기는 평범한 등심인데, 부모님께서 밑반찬은 너무하다고 하시네요… 매실 맛집입니다 ^.^",우판등심 수원점,0
5,고기 질도 좋고 볶음밥도 맛있어요,우판등심 수원점,1
1,여기갈바에 더 서비스좋은 대0원 가세요,우판등심 수원점,0
1,맨 처음 구워주는 고기는 괜찮지만 나중에 굽는건 질겨서 먹지를 못 했네요 부모님 모시고 가서 나중에는 휴지에 고기 뱉기만 햇습니다 직원분들도 친절한 분도 계시지만 불친절한 분들도 많음 예전부터 고기먹으러 갈 땐 여기 왓는데 이제 딴 데가려구영,우판등심 수원점,0
5,정말 친절하고 고기 질도 좋아요 수원 망포 원탑 맛집이라고 생각해요,우판등심 수원점,1
1,직원들이 청소할마음도없고 ㅆㄱㅈ없음 주문도안받고 위생상태가 아주안좋음,세상의모든아침 광교점,0
5,인테리어나 뷰나 둘다 좋고 적당함. 음식은 딱히 특별할것도 없고 가성비도 딱히 없지만.. 애초에 음식으로 차별화보는 곳이 아니기에 굳이 그럴 필요성도 못 느낄듯. 두번 가봤는데 직원분들은 다들 친절하셔서 만족했음.,세상의모든아침 광교점,1
5,친절함. 크리스피 치킨&와플 시켰는데 치킨 와플 모두 맛있었음. 양이 너무 많은게 단점 아닌 단점 ㅋㅋ. 기분좋게 먹었음. ,세상의모든아침 광교점,1
4,,세상의모든아침 광교점,1
5,,세상의모든아침 광교점,1
4,생크림이 왔다인 가게 왓다? 왇다? 여튼...ㅋㅋ 조금 비싼 것만 빼면 최고,하얀풍차제과 매탄점,1
1,치즈바게트 맛이 바뀌었네요 ㅡㅡ  완전 퍽퍽 ㅡㅡ 멀리서 찾아갔는ㄷㅔ 전보다 맛없어졌어요 두개 샀으면 약오를뻔 했네요ㅛ,하얀풍차제과 매탄점,0
5,맘모스의 신세계를 알려준곳. 맛없는 빵도 물론 있으나 맛있는게 더 많음. 인생빵집,하얀풍차제과 매탄점,1
4,가격이 비싼 편이나 빵은 종류 다양하고 괜찮았다 인기빵은 5시쯤 되면 팔린 경우가 많다...퇴근하고 가면 늦어서 아쉬운..,하얀풍차제과 매탄점,1
5,어후 지역화폐안되서 놀랬는데 빵먹어보니 그럴만함. 가격은 비싸지만 진짜 맛은 보장됨.,하얀풍차제과 매탄점,1
5,,긴자 신영통점,1
4,깔끔하고 괜찮음,긴자 신영통점,1
3,,긴자 신영통점,0
3,2019.04.22 2020.10.13  2020.10.27 ,긴자 신영통점,0
3,몇년전에 갔을땐 서비스가 좋았는데 이번에 가니 예약이 많아서인지 직원들이 좀 어설픈 느낌이네요. 코로나인데도 서빙하시는 분들이 마스크도 안쓰고 음식에 손이 직접 닿는 경우가 많아 좀 거슬렸어요.,긴자 신영통점,0
1,샐러드와 베네딕트를 주문했는데 베네딕트는 걍 그럭저럭.. 근데 샐러드는 무슨 소금 퍼먹는 줄 알았어요. 로메인을 아예 씻어서 다시 만들어야 하는 수준이더라고요. 상추를 더 받으려고 들어갔더니 요리를 알바생들이 하던데.. 돈이 너무 아까웠습니다.,카페드단아한 광교본점,0
4,다들 리뷰에서 맛잇다고 하셨던 아보카도 프리미엄? 맞나? ㅜㅜ 이거 시키고 크림파스타시켰는데 역시나! 맛있네요 ㅎㅎㅎㅎ 차타고 30분 왔는데 카페 분위기도 좋고 ^^ 먹고 근처 갤러리아 갔어용 ㅎ 근데 아보카도 요건 생각보다 양이 많아서 남겼구요 쬐애애꼼 느끼하더라구요~ 그래도 맛있음!!^^,카페드단아한 광교본점,1
5,The salad was really good.,카페드단아한 광교본점,1
5,친절하고 브런치하기 좋은 곳이네요.  음식도 커피도 맛있어요!,카페드단아한 광교본점,1
2,맛은 중간정도 괜찮고요 전체적으로  음식이 좀 식은느낌 이라고해야나요  좀더 따뜻하면 좋겠어요  수란은 차가웠어요 원래그리먹는건진 모르겠지만요 ~,카페드단아한 광교본점,0
2,우선 가격대비 시장통임 룸 예약 안하면 진짜 빡침 1. 고기 굽다 화재경보기 울렸음 2. 앞 테이블 애가 소리지르고 우는걸 1시간 하는데 진짜 귀 아픔..직원분이 말씀을 해주시던지.. 울때마다 매장 안 손님들 다같이 그 테이블만 보고있었음ㅠ 애엄마는 체념하고 걍 냅둠 3. 술 부어라 마셔라 하는 사람들 있어서 동네 갈비집인줄 4. 고정 서버가 아녀서 그런지...,도쿄등심 광교점,0
5,맛있음,도쿄등심 광교점,1
5,명성이 자자하길래 여친이랑 다녀왔음. 여친이 또 오자함ㅎㅎ,도쿄등심 광교점,1
5,시그니처코스 좋아요,도쿄등심 광교점,1
5,수원에도 이런곳도있네요 ㅎㅎ 호수보면서 먹는 스키야키는 정말 최고에요,도쿄등심 광교점,1
5,육쪽마늘빵 쌉존맛~ ,수원의아침,1
4,맛있긴한데 가격대가 좀 있는편이라 아쉬워요,수원의아침,1
5,,수원의아침,1
5,,수원의아침,1
1,맛집이라고 해서 갔는데 별로였어요. 대파스콘은 아무맛도 안 나고 그냥 파 냄새 약간 나고 밀가루 맛만 났어요~ 재방문 의사 없습니다.,수원의아침,0
5,여기 짬뽕이 기준이 되어 버렸다. 탕수육도... 여기 지인들 데려가면 정말 다 만족했던집 ,홍화루,1
3,"삼선짬뽕, 탕수육은 확실히 맛있습니다. 역대급.. 요리는 맛있는데, 홀 방역관리가 좀 미흡하네요.. 지금같은 코로나 시국에 테이블을 다닥다닥 붙여서 앉게 해야합니까..? 홀 직원이 조금만 신경써도 손님들 그렇게 앉지 않을텐데, 식사내내 불편했습니다.",홍화루,0
4,맛있음,홍화루,1
5,최고에요. 탕수육은 정말 수원 최고입니다,홍화루,1
1,,홍화루,0
2,다른 분들 후기대로임.     ,아우어베이커리 광교앨리웨이점,0
4,더티쵸코 맛있어요! 스트레스 받을 때 호수 한바퀴 돌고 커피에 곁들여 하나 먹으면 스르르 풀립니다. 시도해본 다른 빵들도 다 만족스러워요. 공간이 넓지만 주말엔 늘 자리가 없는 편이에요. ,아우어베이커리 광교앨리웨이점,1
3,더티초코랑 까눌레 먹었는데요 둘다 그저그런.. 맛없었어요.. 신기하죠.. 레몬진저허니 티는 짱맛있었습니다,아우어베이커리 광교앨리웨이점,0
5,,아우어베이커리 광교앨리웨이점,1
3,빵은 맛있음. 근데 사람 많고 정신없음 ㅠㅠ 앉아서 대화하긴 별로인 것 같고 그냥 테이크아웃해서 집 갈 것 같아요,아우어베이커리 광교앨리웨이점,0
5,맜있음,대가원 수원점,1
5,일년 365일 사람 많은 곳,대가원 수원점,1
5,,대가원 수원점,1
1,과거에 대도식당 수원점이라서 대도식당의 DNA가 남아 있을거라 믿고 가봤습니다. 분위기는 깔끔합니다.  주문 후 나온 고기의 두께 보고 대 실망입니다. 고기가 많아 보일려고 너무 얇게 썰어 굽다보면 육즙이 바로 없어집니다.  그 좋은 고기를 맛있게 굽지 못하네요.  종업원들의 서비스 마인드가 아쉽습니다. 밥 볶아 달랬더니 불판을 깨끗이 닦고 볶아야 하는데 ...,대가원 수원점,0
4,,대가원 수원점,1
3,"서비스 좋고 신선, 맛 깔끔. 단지 기대한만큼의 맛집은 아니었음 곱창은 좀더 느끼해야한다고 생각하는 1인",땡이네소곱창,0
5,맛집 인정!,땡이네소곱창,1
1,곱창이 너무 질겨요 고무줄같아요. 볶음밥 하트는 잘그리시는데 맛은 별로에요 !!!!!,땡이네소곱창,0
5,,땡이네소곱창,1
5,,땡이네소곱창,1
